Grupy wieku;emeryci;p_absol_j;p_absol_l;p_wzgl_j;p_wzgl_l;i_dyn_j;i_dyn_l;24-64 pabsj;;;;liniowe;;kwadratowe;;3 stopnia;;;;;;
1989;4798;0;;0;;1;;0;;1;;4490.153409;;5040.612963;;5039.111618;;;;;;
1990;4884;86;86;0.018;0.018;1.018;1.018;72;1.004;1;;4602.365286;;5046.28428;;5045.531279;;;;;;
1991;4968;170;84;0.035;0.017;1.035;1.017;150;1.004;1;;4714.577163;;5059.058301;;5058.912535;;;;;;
1992;5057;259;89;0.054;0.018;1.054;1.018;224;1.004;1;;4826.78904;;5078.935026;;5079.265868;;;;;;
1993;5153;355;96;0.074;0.019;1.074;1.019;269;1.002;1;;4939.000916;;5105.914455;;5106.601762;;;;;;
1994;5219;421;66;0.088;0.013;1.088;1.013;310;1.002;1;;5051.212793;;5139.996588;;5140.930701;;;;;;
1995;5295;497;76;0.104;0.015;1.104;1.015;346;1.002;1;;5163.42467;;5181.181425;;5182.263169;;;;;;
1996;5364;566;69;0.118;0.013;1.118;1.013;370;1.001;1;;5275.636547;;5229.468966;;5230.609649;;;;;;
1997;5439;641;75;0.134;0.014;1.134;1.014;389;1.001;1;;5387.848424;;5284.859211;;5285.980626;;;;;;
1998;5512;714;73;0.149;0.013;1.149;1.013;405;1.001;1;;5500.060301;;5347.35216;;5348.386582;;;;;;
1999;5592;794;80;0.165;0.015;1.165;1.015;275;0.993;1;;5612.272177;;5416.947812;;5417.838001;;;;;;
2000;5660;862;68;0.18;0.012;1.18;1.012;431;1.008;1;;5724.484054;;5493.646169;;5494.345368;;;;;;
2001;5720;922;60;0.192;0.011;1.192;1.011;622;1.01;1;;5836.695931;;5577.44723;;5577.919166;;;;;;
2002;5765;967;45;0.202;0.008;1.202;1.008;823;1.011;1;;5948.907808;;5668.350995;;5668.569878;;;;;;
2003;5802;1004;37;0.209;0.006;1.209;1.006;1037;1.011;1;;6061.119685;;5766.357464;;5766.307988;;;;;;
2004;5847;1049;45;0.219;0.008;1.219;1.008;1264;1.012;1;;6173.331562;;5871.466637;;5871.143981;;;;;;
2005;5888;1090;41;0.227;0.007;1.227;1.007;1496;1.012;1;;6285.543438;;5983.678514;;5983.088339;;;;;;
2006;5983;1185;95;0.247;0.016;1.247;1.016;1647;1.008;1;;6397.755315;;6102.993094;;6102.151546;;;;;;
2007;6083;1285;100;0.268;0.017;1.268;1.017;1827;1.009;1;;6509.967192;;6229.410379;;6228.344087;;;;;;
2008;6196;1398;113;0.291;0.019;1.291;1.019;2016;1.009;1;;6622.179069;;6362.930368;;6361.676444;;;;;;
2009;6312;1514;116;0.316;0.019;1.316;1.019;2189;1.008;1;;6734.390946;;6503.553061;;6502.159102;;;;;;
2010;6456;1658;144;0.346;0.023;1.346;1.023;2548;1.017;1;;6846.602823;;6651.278458;;6649.802544;;;;;;
2011;6653;1855;197;0.387;0.031;1.387;1.031;2578;1.001;1;;6958.814699;;6806.106558;;6804.617254;;;;;;
2012;6861;2063;208;0.43;0.031;1.43;1.031;2563;0.999;1;;7071.026576;;6968.037363;;6966.613715;;;;;;
2013;7078;2280;217;0.475;0.032;1.475;1.032;2513;0.998;1;;7183.238453;;7137.070872;;7135.802412;;;;;;
2014;7305;2507;227;0.523;0.032;1.523;1.032;2450;0.997;1;;7295.45033;;7313.207084;;7312.193828;;;;;;
2015;7533;2735;228;0.57;0.031;1.57;1.031;2362;0.996;1;;7407.662207;;7496.446001;;7495.798446;;;;;;
2016;7770;2972;237;0.619;0.031;1.619;1.031;2271;0.996;1;;7519.874084;;7686.787622;;7686.626751;;;;;;
2017;7995;3197;225;0.666;0.029;1.666;1.029;2144;0.994;1;;7632.08596;;7884.231946;;7884.689226;;;;;;
2018;8206;3408;211;0.71;0.026;1.71;1.026;2003;0.993;1;;7744.297837;;8088.778975;;8089.996355;;;;;;
2019;8408;3610;202;0.752;0.025;1.752;1.025;1858;0.993;1;;7856.509714;;8300.428708;;8302.558621;;;;;;
2020;8540;3742;132;0.78;0.016;1.78;1.016;1685;0.991;1;;7968.721591;;8519.181144;;8522.386508;;;;;;
2021;;;;;;;;;;;;;;;;2021;8540;;;;;
2022;;;;;;;;;;;;;;;;2022;8700;;;;;
2023;;;;;;;;;;;;;;;;2023;8864;;;;;
2024;;;;;;;;;;;;;;;;2024;9030;;;;;
2025;;;;;;;;;;;;;;;;2025;9200;;;;;
2026;;;;;;;;;;;;;;;;2026;9372;;;;;
2027;;;;;;;;;;;;;;;;2027;9548;;;;;
2028;;;;;;;;;;;;;;;;2028;9727;;;;;
2029;;;;;;;;;;;;;;;;2029;9910;;;;;
2030;;;;;;;;;;;;;;;;2030;10096;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;lata;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
;;;;;;;;;;;;prognoza;8540;8700;8864;9030;9200;9372;9548;9727;9910;10096
;;;;;;;;;;;;;;;;;;;;;;
