Grupy wieku;0-6; 7 - 14; 15 - 18; 19 - 24;25-44; 45 - 59/64; emeryci;ogolem
1989;4403;5093;2248;3049;11635;6763;4798;37989
1990;4254;5042;2297;3125;11580;6890;4884;38072
1991;4107;4987;2342;3194;11533;7015;4968;38146
1992;3947;4930;2385;3261;11468;7154;5057;38202
1993;3795;4869;2428;3328;11393;7274;5153;38240
1994;3669;4807;2470;3393;11317;7391;5219;38266
1995;3519;4763;2509;3456;11241;7503;5295;38286
1996;3388;4699;2552;3523;11155;7613;5364;38294
1997;3260;4627;2592;3585;11070;7717;5439;38290
1998;3115;4568;2631;3647;10980;7823;5512;38276
1999;2996;4586;2686;3730;10863;7810;5592;38263
2000;2888;4406;2706;3765;10786;8043;5660;38254
2001;2786;4253;2651;3812;10740;8280;5720;38242
2002;2699;4105;2538;3890;10688;8533;5765;38219
2003;2621;3960;2428;3945;10661;8774;5802;38191
2004;2567;3810;2323;3964;10679;8983;5847;38174
2005;2538;3652;2257;3928;10740;9154;5888;38157
2006;2528;3495;2207;3867;10814;9231;5983;38126
2007;2537;3364;2141;3767;10947;9278;6083;38116
2008;2588;3241;2068;3629;11113;9301;6196;38136
2009;2655;3128;1982;3504;11284;9303;6312;38167
2010;2795;3061;1891;3382;11539;9407;6456;38530
2011;2827;2992;1812;3278;11656;9320;6653;38538
2012;2845;2952;1735;3181;11752;9209;6861;38533
2013;2830;2941;1660;3074;11827;9084;7078;38496
2014;2801;2963;1603;2958;11880;8968;7305;38479
2015;2739;3015;1554;2835;11911;8849;7533;38437
2016;2692;3082;1513;2709;11923;8746;7770;38433
2017;2683;3142;1476;2597;11884;8658;7995;38434
2018;2677;3188;1446;2493;11807;8594;8206;38411
2019;2667;3222;1427;2405;11691;8565;8408;38383
2020;2654;3225;1429;2335;11524;8559;8540;38265
