Grupy wieku;0-6; 7 - 14; 15 - 18; 19 - 24;25-44; 45 - 59/64; 60/65plus;ogolem
1989;2535;3090;1415;1829;7626;4233;2656;23384
1990;2443;3054;1446;1897;7599;4371;2737;23547
1991;2343;3018;1477;1966;7545;4481;2819;23649
1992;2219;2949;1493;2012;7434;4584;2876;23567
1993;2113;2901;1520;2072;7376;4699;2964;23645
1994;2023;2847;1543;2128;7297;4814;3021;23673
1995;1926;2798;1564;2179;7214;4911;3083;23675
1996;1847;2741;1587;2236;7126;5011;3143;23691
1997;1771;2681;1609;2290;7039;5105;3200;23695
1998;1692;2624;1630;2341;6948;5192;3256;23683
1999;1625,8;2620,1;1678,1;2419;6810,7;5229,2;3317,7;23700,6
2000;1571,5;2487;1666,2;2438;6738,4;5390,2;3378,9;23670,2
2001;1520,5;2374;1604,8;2454,1;6692,6;5544,6;3436,2;23626,8
2002;1478,4;2269,4;1513,9;2482,7;6645;5698,6;3483,2;23571,2
2003;1445;2167,8;1427;2494,4;6616,7;5837,1;3525,5;23513,5
2004;1429,6;2068,2;1352,5;2477;6625,4;5944,3;3573,1;23470,1
2005;1427;1970,3;1296,8;2422,5;6664,3;6023,3;3619,5;23423,7
2006;1435,1;1879,4;1252,3;2351,6;6714,6;6029,9;3705,9;23368,8
2007;1450,7;1806,8;1198,1;2261;6793,8;6010,5;3796;23316,9
2008;1489,5;1742;1143,2;2150,6;6889,2;5978,5;3895,2;23288,2
2009;1539,2;1684,5;1086,7;2048,7;6985,9;5935,3;3997,8;23278,1
2010;1607,1;1642,9;1020,6;1975,6;7089,4;5964,8;4128,7;23429,1
2011;1627,8;1611,3;970,3;1882,2;7156,4;5854,7;4283,1;23385,8
2012;1641,6;1597,1;927,9;1791,4;7207,1;5729;4442,3;23336,4
2013;1633,4;1598,6;887,9;1697,5;7240;5596,6;4604;23258
2014;1621;1620,6;863,3;1601,4;7262,1;5475,7;4772,2;23216,3
2015;1590,5;1660,5;838;1513,5;7264,9;5360,5;4938,6;23166,5
2016;1566,5;1706,9;818,6;1432,7;7245,4;5253,9;5105,6;23129,6
2017;1564,6;1750,2;802,5;1372,2;7190,9;5165,7;5263,2;23109,3
2018;1563,8;1781,9;791,7;1314,5;7114,2;5096;5405,2;23067,3
2019;1559,3;1805,3;789,2;1270,2;7015,6;5055,8;5537,7;23033,1
2020;1549,3;1807;791,6;1235,8;6866,9;5034,3;5620,2;22905,1
